Country,Status,Adult_Mortality,Infant_Deaths,Hepatitis ,Measles , BMI ,Underfive_Deaths ,Polio,Diphtheria , HIV,GDP,Population,Malnourished10_19 ,Malnourished5_9,Income_Index,Schooling,Expected
Afghanistan,Developing,263,62,65,1154,19.1,83,6,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1,65
Albania,Developing,8,0,98,0,57.2,1,98,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2,77.5
Algeria,Developing,19,21,95,63,59.5,24,95,95,0.1,4132.76292,39871528,6,5.8,0.743,14.4,75.6
Angola,Developing,335,66,64,118,23.3,98,7,64,1.9,3695.793748,2785935,8.3,8.2,0.531,11.4,52.4
Argentina,Developing,116,8,94,0,62.8,9,93,94,0.1,13467.1236,43417765,1,0.9,0.826,17.3,76.3
Armenia,Developing,118,1,94,33,54.9,1,96,94,0.1,369.654776,291695,2.1,2.2,0.741,12.7,74.8
Australia,Developed,59,1,93,74,66.6,1,93,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4,82.8
Austria,Developed,65,0,93,309,57.6,0,93,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9,81.5
Azerbaijan,Developing,118,5,96,0,52.5,6,98,96,0.1,55.31382,9649341,2.8,2.9,0.758,12.7,72.7
Bahrain,Developing,69,0,98,0,63.6,0,98,98,0.1,22688.87824,1378188,6.2,6.1,0.823,14.5,76.9
Bangladesh,Developing,129,92,97,240,18.3,113,97,97,0.1,121.15812,1612886,17.9,18.3,0.575,10.2,71.8
Barbados,Developing,98,0,97,0,54.5,0,97,97,0.1,15557.8381,276633,3.8,3.7,0.794,15.3,75.5
Belarus,Developing,196,0,99,2,62.3,0,99,99,0.1,5949.11677,9489616,1.9,2,0.798,15.6,72.3
Belgium,Developed,74,0,98,47,63.7,1,99,99,0.1,4356.875,11274196,1,1,0.895,16.6,81.1
Belize,Developing,175,0,94,0,5.9,0,94,94,0.2,4849.997495,359288,3.5,3.4,0.706,12.8,71
Benin,Developing,249,25,82,55,25.7,39,78,82,1,783.94791,1575952,6.9,6.8,0.481,10.7,60
Bhutan,Developing,211,0,99,11,24.5,0,98,99,0.5,2613.645177,787386,15.4,16,0.604,12.5,69.8
Bosnia,Developing,88,0,82,1677,55.8,0,74,82,0.1,4574.9787,3535961,2.3,2.3,0.747,14.2,77.4
Botswana,Developing,256,2,95,0,37.9,2,96,95,2.2,6532.651,229197,6.4,6.1,0.698,12.6,65.7
Brazil,Developing,142,42,96,214,56.1,47,98,96,0.1,8757.2622,2596218,2.7,2.6,0.754,15.2,75
Brunei Darussalam,Developing,78,0,99,4,41.2,0,99,99,0.1,3967.8951,418002,5.7,5.1,0.864,14.9,77.7
Bulgaria,Developed,137,0,92,0,65.7,1,91,91,0.1,6993.47736,7177991,1.9,1.8,0.792,15,74.5
Cambodia,Developing,174,10,89,0,19.6,12,87,89,0.2,1163.18977,15517635,1.9,1.9,0.558,10.9,68.7
Canada,Developing,64,2,55,195,67,2,91,91,0.1,43315.744,3584861,0.6,0.5,0.919,16.3,82.2
Central African Republic,Developing,397,15,47,150,22.7,21,47,47,4.4,348.381417,45461,8.2,8.2,0.347,7.1,52.5
Chad,Developing,356,46,46,418,19.1,77,52,46,2.8,777.248751,149413,8.5,8.4,0.394,7.3,53.1
Chile,Developing,82,2,97,9,63.8,2,96,96,0.1,13653.2264,17762681,0.8,0.8,0.845,16.3,85
China,Developing,85,157,99,42361,32.9,183,99,99,0.1,869.211938,137122,3.6,2.9,0.734,13.5,76.1
Colombia,Developing,143,10,91,1,57.9,12,91,91,0.1,644.525556,48228697,2.1,1.9,0.724,13.6,74.8
Comoros,Developing,227,1,91,0,24.2,2,92,91,0.8,727.6463868,777424,6.7,6.5,0.498,11.1,63.5
Costa Rica,Developing,95,1,92,0,6.5,1,92,92,0.1,1146.36273,487852,1.7,1.7,0.775,14.2,79.6
Croatia,Developed,95,0,94,206,63.7,0,94,94,0.1,11579.6674,42364,1.5,1.4,0.823,15.3,78
Cuba,Developing,92,1,99,0,61.4,1,99,99,0.1,762.261218,11239004,3.5,3.3,0.773,13.9,79.1
Cyprus,Developed,52,0,97,0,6.3,0,97,97,0.1,2375.1127,116985,1,1,0.854,14.3,85
Denmark,Developed,71,0,66,9,58.8,0,93,93,0.1,5314.64416,5683483,1.1,0.9,0.923,19.2,86
Ecuador,Developing,118,6,78,0,54.2,7,84,78,0.1,625.62224,16144368,1.2,1.1,0.739,14,76.2
Egypt,Developing,159,51,93,5432,61.1,60,93,93,0.1,2352.36,92442547,2.8,2.8,0.688,13.1,79
El Salvador,Developing,178,2,91,0,56.1,2,92,91,0.2,4127.11775,6312478,1.6,1.5,0.678,13.2,73.5
Estonia,Developing,119,0,91,4,59.9,0,93,93,0.1,1774.9291,131547,1.9,1.9,0.863,16.5,77.6
Ethiopia,Developing,225,136,77,17745,17.6,194,75,77,0.6,645.4637627,9987333,1.4,1.2,0.441,8.4,64.8
Fiji,Developing,188,0,99,0,62.7,0,99,99,0.1,4921.89629,892149,4,3.7,0.734,15.3,69.9
Finland,Developing,76,0,90,2,62.1,0,97,97,0.1,4245.39744,5479531,0.9,0.8,0.893,17,81.1
France,Developing,78,2,86,157,62.5,3,98,98,0.1,36526.7711,6662468,0.7,0.6,0.894,16.3,82.4
Georgia,Developing,129,1,94,431,56.2,1,91,94,0.1,3764.64912,37171,2.7,2.8,0.768,13.9,74.4
Germany,Developed,68,2,88,2464,62.3,3,94,95,0.1,41176.88158,81686611,1.1,1.1,0.924,17.1,81
Ghana,Developing,249,37,88,23,28.6,52,88,88,0.7,1361.11395,27582821,6.2,6.1,0.575,11.4,62.4
Greece,Developing,72,0,96,1,66.5,0,99,99,0.1,187.78991,182883,0.8,0.7,0.865,17.2,81
Guatemala,Developing,186,10,74,0,5.6,12,9,74,0.4,3923.573344,16252429,1.2,1.2,0.637,10.7,71.9
Guinea,Developing,284,26,54,243,23.3,40,42,54,0.5,554.48766,1291533,7.3,7.3,0.414,8.8,59
Haiti,Developing,24,14,6,0,49.9,18,56,6,0.5,814.5463952,171161,3.9,3.9,0.49,9.1,63.5
Hungary,Developed,134,0,17,0,64.8,0,99,99,0.1,12365.6263,984328,1.6,1.6,0.834,15.6,75.8
Iceland,Developed,49,0,84,0,61,0,92,92,0.1,5734.4436,33815,1,0.9,0.919,19,82.7
India,Developing,181,910,87,90387,18.7,1100,86,87,0.2,1613.18878,1395398,26.7,27.3,0.615,11.6,68.3
Indonesia,Developing,176,114,78,15099,27.4,136,8,78,0.3,3336.16686,258162113,1.4,1.2,0.686,12.9,69.1
Iran,Developing,83,18,98,615,59.7,21,98,98,0.1,4359.3527,78492215,8.5,8.6,0.774,14.8,75.5
Iraq,Developing,182,32,56,1433,59.1,38,63,58,0.1,4974.2693,36115649,5.3,5.1,0.649,10.1,68.9
Ireland,Developed,64,0,95,4,62.8,0,95,95,0.1,6664.144,4676835,0.3,0.2,0.92,18.6,81.4
Israel,Developing,58,0,96,80,64.9,1,95,95,0.1,35729.37253,8381,1.2,1.1,0.898,16,82.5
Italy,Developed,56,1,93,159,63.6,2,93,93,0.1,349.14755,673582,0.6,0.6,0.881,16.3,82.7
Jamaica,Developing,125,1,91,0,54.2,1,91,91,0.5,4965.989857,2871934,1.8,1.7,0.729,12.8,76.2
Japan,Developed,55,2,72,35,29,3,99,96,0.1,34474.13736,127141,2.1,1.8,0.902,15.3,83.7
Kazakhstan,Developing,198,4,98,526,53.1,5,98,98,0.1,159.9817,17544126,2.4,2.5,0.793,15,72
Kenya,Developing,249,54,89,95,22,75,83,89,2.8,1349.97144,47236259,7.8,7.6,0.55,11.1,63.4
Kuwait,Developing,81,0,99,18,71.4,1,99,99,0.1,28975.418,3835591,3.5,3.4,0.799,13.3,74.7
Lebanon,Developing,98,1,81,39,66.1,1,75,81,0.1,846.632851,5851479,4.9,4.9,0.763,13.3,74.9
Liberia,Developing,259,8,52,1060,27.3,11,52,52,0.9,452.38717,4499621,6.5,6.4,0.427,9.9,61.4
Luxembourg,Developed,63,0,94,0,61.3,0,99,99,0.1,1199.8223,56964,1,0.9,0.896,13.9,82
Madagascar,Developing,22,28,69,3,2.5,38,71,69,0.3,41.8575951,2423488,7.1,7.1,0.511,10.3,65.5
Malaysia,Developing,123,4,99,1318,4.6,4,99,99,0.1,9643.644683,3723155,7.5,7.3,0.787,13.1,75
Maldives,Developing,61,0,99,0,27.4,0,99,99,0.1,8395.785198,49163,13.6,13.6,0.701,12.7,78.5
Mali,Developing,266,52,64,215,23.8,84,66,64,1.5,729.725338,1746795,7.7,7.5,0.438,8.4,58.2
Mauritius,Developing,146,0,97,0,33.3,0,98,97,0.1,9252.11724,126265,6.9,6.8,0.779,15.2,74.6
Mexico,Developing,122,30,82,0,63.5,35,87,87,0.1,9143.128494,12589949,1.5,1.5,0.758,13.3,76.7
Mongolia,Developing,222,1,99,20359,52.7,1,99,99,0.1,3944.1839,2976877,2.2,2.3,0.733,14.8,68.8
Morocco,Developing,95,17,99,17,58.5,20,99,99,0.1,2847.285569,3483322,6.4,6.2,0.645,12.1,74.3
Myanmar,Developing,199,39,89,6,23.8,50,89,89,0.3,1194.59137,5243669,12.8,13,0.552,9.1,66.6
Nepal,Developing,165,17,91,1599,19.1,21,9,91,0.1,743.7653489,28656282,15.7,16.1,0.555,12.2,69.2
Netherlands,Developed,57,1,94,7,62.1,1,95,95,0.1,44292.88473,16939923,1,0.9,0.923,18.1,81.9
New Zealand,Developed,66,0,92,10,67.5,0,92,92,0.1,3821.8937,4649971,0.4,0.3,0.913,19.2,81.6
Nigeria,Developing,145,2,98,0,54,2,99,98,0.1,295.966488,68235,1.8,1.7,0.642,11.7,74.8
Norway,Developing,227,49,67,1224,18.5,89,56,67,0.6,416.14838,18426372,1,9.9,0.341,5.3,69
Oman,Developing,367,498,46,52852,24.1,773,46,46,3.9,2996.96432,17182933,1.4,1.2,0.514,9.8,53.2
Pakistan,Developed,61,0,55,3,6.8,0,93,93,0.1,975.49856,5137232,0.8,0.7,0.945,17.7,81.6
Panama,Developing,12,1,98,0,52.8,1,99,98,0.1,21268.7564,3968487,7,6.8,0.796,13.7,76.2
Paraguay,Developing,119,1,8,0,57.1,1,8,8,0.1,12593.7374,393986,1.9,1.8,0.78,13,77.6
Peru,Developing,146,2,93,0,5.2,3,89,93,0.2,419.367724,6639119,2,1.9,0.692,12.3,74
Philippines,Developing,123,8,9,4,55.6,10,88,9,0.1,63.343259,31376671,1.1,1.1,0.737,13.4,75.5
Poland,Developing,211,52,6,619,25.4,66,79,6,0.1,2878.33837,11716359,1,9.7,0.679,11.7,68.5
Portugal,Developing,214,54,67,58848,24.8,68,77,67,0.1,2842.938353,112249,1,9.7,0.676,11.7,68.4
Qatar,Developed,117,2,96,0,61.7,2,92,98,0.1,12565.9876,37986412,1.9,2,0.852,16.4,77.5
Republic of Korea,Developed,76,0,98,8,61.6,0,98,98,0.1,1922.681,135876,0.7,0.5,0.841,16.6,81.1
Romania,Developing,64,1,98,7,31.7,2,98,98,0.1,21008.33,19760585,1.5,1,0.492,12.2,82.3
Russian Federation,Developing,157,1,88,0,53.4,1,88,87,0.1,15801.41,144985057,2.7,2.8,0.799,13,72.1
Saudi Arabia,Developing,222,13,97,843,6.5,15,97,97,0.1,9329.298351,1449687,2.3,2.3,0.805,15,75
Senegal,Developing,225,13,97,4711,59.9,15,97,97,0.1,14125.961,143819666,2.3,2.3,0.803,14.9,73
Serbia,Developing,229,14,97,2339,59.3,16,98,97,0.2,15543.67653,14356911,2.3,2.3,0.799,14.6,70
Seychelles,Developing,237,14,97,2123,58.7,16,98,97,0.3,15154.45687,14321676,2.3,2.4,0.792,14.3,69.6
Sierra Leone,Developing,242,14,97,629,58.1,17,97,97,0.3,14212.687,14296868,2.3,2.4,0.785,14,69.4
Singapore,Developing,256,15,97,129,57.5,17,98,97,0.2,1674.98771,142849449,2.3,2.5,0.773,13.7,68.4
Solomon Islands,Developing,261,15,98,101,57,18,98,98,0.3,8562.89598,142785342,2.3,2.5,0.776,14,68.2
Somalia,Developing,278,16,98,27,56.6,18,98,98,0.3,11635.2637,14274235,2.3,2.5,0.769,13.9,67.5
South Africa,Developing,282,16,98,173,56.1,19,98,98,0.3,911.25385,1428588,2.4,2.6,0.761,13.8,67.3
Spain,Developing,3,17,98,1147,55.7,20,98,98,0.3,692.194398,14349528,2.4,2.7,0.754,13.8,66.4
Sri Lanka,Developing,327,18,97,454,55.3,20,98,98,0.3,5323.473877,143518523,2.4,2.7,0.748,13.7,65
Sweden,Developing,321,19,96,2444,55,21,98,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6,64.9
Switzerland,Developing,322,20,94,3291,54.7,22,97,96,0.4,2975.132778,144648257,2.6,2.8,0.733,13.2,64.6
Syria,Developing,313,20,81,580,54.5,24,97,97,0.3,2375.5944,1453646,2.7,2.9,0.727,12.8,64.8
Thailand,Developing,38,21,43,2072,54.2,25,97,96,0.3,21.362386,14597683,2.8,3,0.72,12.5,65.1
Tunisia,Developing,37,22,70,4800,54,26,97,96,0.2,1771.58662,146596557,2.9,3,0.709,12.1,65
Turkey,Developing,227,11,98,1,21.4,15,99,98,0.4,71.348397,11629553,5.7,5.7,0.493,10.8,66.1
Uganda,Developing,23,12,98,10,2.8,16,98,98,0.4,76.5699517,11345357,5.8,5.8,0.488,10.8,65.7
Ukraine,Developing,233,12,98,17,2.1,17,98,98,0.5,688.8768557,1165151,5.9,5.9,0.485,10.8,65.2
United Arab Emirates,Developing,239,13,98,75,19.5,18,98,98,0.7,678.796973,1788853,6.1,6.1,0.475,10.5,64.6
United Kingdom,Developing,247,14,97,31,18.9,20,93,97,1.3,617.317648,151671,6.3,6.2,0.464,10.2,63.8
Tanzania,Developing,26,16,97,121,18.3,23,93,97,2.3,563.491487,1246842,6.5,6.3,0.454,10,62.8
United States of America,Developing,288,17,97,5,17.7,25,93,97,2.8,539.1538211,9977446,6.6,6.4,0.447,10.2,61
Uruguay,Developing,282,18,97,6,17.1,28,97,97,3.7,5.6687264,978169,6.7,6.6,0.438,10.4,68
Uzbekistan,Developing,295,20,97,26,16.5,30,98,97,5,44.853339,944742,6.8,6.7,0.424,10.1,59.6
Vanuatu,Developing,328,22,99,494,15.9,34,99,99,6.2,342.3656294,92658,6.8,6.8,0.404,9.3,57.6
Venezuela,Developing,37,24,95,129,15.4,38,95,95,7.1,287.931877,8991735,6.8,7,0.388,8.8,55.3
Viet Nam,Developing,397,26,89,386,14.9,42,89,89,7.7,236.9114381,8818438,6.9,7.1,0.371,8.2,53.4
Yemen,Developing,48,29,96,1064,14.5,46,96,96,8.1,212.6619491,868346,7,7.3,0.359,7.6,52
Zambia,Developing,415,31,88,2738,14.1,50,85,88,8,196.59778,853625,7.2,7.4,0.343,7.2,57
Zimbabwe,Developing,438,33,85,896,13.7,54,76,77,8.1,21.569654,832946,7.4,7.5,0.332,7.1,48.6
